rootId,shortName,address,phone,schedule,yandexLocation.latitude,yandexLocation.longitude
ST01235,Getmoneyglobal at POST OFFICE,"г. АДАНА, RESATBEY MAHALLESI TURHAN CEMAL BERIKER BULVAR NO: 16 SEYHAN ADANA",+90 (322) 3616677,пн-пт: 08:30-17:00,36.992382,35.317181
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MECIDIYEKOY MAH. SELAHATTIN PINAR CAD. INAN APARTMANI NO:3 IC KAPI NO:19 SISLI/ISTANBUL",+90 (530) 7966407,пн-вс: 08:00-23:59,41.068022,28.999039
ST01190,IST-PAY,"г. АНКАРА, Kizilay Mh Gazi Mustafa Kemal Blv Onur Is Hani No 12 Ic Kapi No 14",+90 (538) 8803123,пн-вс: 08:00-23:30,39.922487,32.851369
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, Mesihpasa mh. Azimkar sk. no:1 Aksaray-Fatih-Istanbul",+90 (850) 8110077,,41.007791,28.95383
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Mustafa Kemalpasa Cad. No:28/B",+90 (212) 6388986,пн-вс: 08:00-20:00,41.002376,28.852113
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНКАРА, HAMAMONU TALATPASABULVARI 134 ALTINDAG",+90 (535) 8513212,"пн-вс: 07:00-23:59, пн-вс: 00:00-04:00",39.933562,32.87111
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АДАНА, ALIDEDE MAHALLESI SAYDAM CADDESI SAYDAM ISHANI NO 45/127 SEYHAN",+90 (322) 3593073,пн-вс: 08:30-22:00,36.981862,35.324958
ST01235,Getmoneyglobal at POST OFFICE,"г. АДАНА, ISLAM MAHALLESI BELENKOY YOLU CADDE NO: 2 FEKE ADANA",+90 (322) 7818001,пн-пт: 08:30-17:00,37.814497,35.910374
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Mesihpasa Mah. Gazi Mustafa Kemal Cad. No:10",+90 (212) 5301300,пн-пт: 08:00-19:30,40.969906,29.124406
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Sinanpasa Mahallesi Ortabahce Caddesi Buyuk Besiktas Carsisi No:10/5",+90 (533) 2346233,"пн-сб: 09:30-19:00, вс: 10:00-17:00",41.042903,29.005408
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, BOGAZKENT MH MEHMET AKIF CD NO 67 B SERIK ANTALYA",+90 (242) 7310161,вс-сб: 09:00-21:00,36.836913,31.158559
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Mimar Kemalettin Mah., Azimkar Sok., No 48",+90 (212) 4589254,пн-вс: 09:00-19:00,41.007563,28.956571
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, istoc",+90 (212) 6597690,вс: 08:00-19:30,41.065132,28.831576
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Aksaray Mah. Tiryaki Hasanpasa Sok. No:5",+90 (212) 5301338,"пн-пт: 09:00-19:00, сб-вс: 09:00-19:00",41.00759,28.953107
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, Mecidiyekoy Mahallesi Buyukdere Cad. No:65 Mecidiyekoy",+90 (212) 3565370,пн-вс: 08:00-19:30,41.066945,28.998245
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, KATIP KASIM MAH. HAYRIYE TUCCARI CAD. YAPI HAN NO20 IC KAPI NO 1",+90 (542) 2301865,пн-вс: 07:00-23:00,41.007133,28.95627
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, 188 SOKAK NO 14/2 MURATPASA ANTALTA",+90 (532) 2937378,пн-вс: 08:00-20:30,36.891123,30.68398
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Mesihpasa Mah. Laleli Cad. No:13/16",+90 (534) 0131883,пн-пт: 09:00-19:00,41.008873,28.956442
ST01190,IST-PAY,"СТАМБУЛ, Yenikent Mah Dogan Arasli Blv Ozyurtlad N Merkez Outlet No 218 D Ic Kapi No 26 Esenyurt Istanbul",+90 (552) 5476696,пн-вс: 08:00-23:30,41.041336,28.677467
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, aksaray mahallesi tiryaki hasan pasa sokak no 35",+90 (538) 7288393,пн-вс: 08:00-23:59,41.007526,28.951798
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. БУРСА, osmangazi mahallesi kapalicarsi 16010",+90 (224) 2117175,пн-сб: 09:00-18:30,40.184825,29.0612
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. ГАЗИАНТЕП, Alaybey Mah. Gaziler Cd No:31 C",+90 (532) 2275579,пн-вс: 08:00-20:00,37.060982,37.383514
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, ASAGI DUDULLU MAHALLESI ALEMDAG CADDESI 489 D 7",+90 (553) 5683739,пн-вс: 08:00-23:59,41.016502,29.164566
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНКАРА, CUMHURIYET MAHALLESI ATATURK BULVARI SOYSAL HAN 91 -26 CANKAYA",+90 (552) 2446575,пн-вс: 08:30-22:00,39.921523,32.854432
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. БУРСА, altinova mah istanbul caddesi 424/5",+90 (224) 2255050,пн-сб: 09:00-18:30,40.235566,29.065722
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. КИЛИС, innapli kutah mahallesi arasa carsisi caddesi no 8",+90 (348) 8137516,пн-вс: 08:00-20:00,36.716182,37.115012
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Balabanaga Mah. Fethibey Cad. Laleli Galeria Is Merkezi No:20A",+90 (212) 5227246,пн-вс: 08:30-20:00,40.923138,29.154183
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. БУРСА, Duacinari Mahallesi Kirkpinar Caddesi no:21 Yildirim",+90 (224) 3615636,пн-пт: 09:00-17:00,40.195267,29.103601
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, katip kasim mahallesi gvenlik caddesi no 42",+90 (212) 5179999,пн-вс: 08:00-20:00,41.006353,28.955094
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, Liman Mah. Ataturk Bulvari Mimsa M 247 A Konyaalti",+90 (532) 4221175,вс-сб: 08:00-22:00,36.853084,30.618217
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, Altinkum Mah. Gazi Mustafa Kemal Bulvari Kasan Apt. 32-A",+90 (246) 9722026,пн-вс: 08:00-20:00,36.867625,30.631419
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, hirka i serif mahallesi sutcu Murat sokak 13 Fatih",+90 (555) 8886600,вс: 08:00-20:00,41.025426,28.939625
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНКАРА, gama is merkezi no 97 102 kat 1 Kizilay",+90 (532) 5662109,вс-сб: 08:00-22:00,39.919885,32.854529
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. БУРСА, dua cinari mahallesi kirkpinar caddesi no 21",+90 (224) 3615636,вс-сб: 08:00-22:00,40.195267,29.103601
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, Kizilsaray Mah. 100 Yil Cad. No:3/A",+90 (242) 2477019,пн-вс: 08:00-22:00,36.890673,30.694418
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, Kiziltoprak Mah. Alicetinkaya Cad. No:121/C",+90 (533) 2622401,пн-вс: 08:00-20:00,36.888884,30.720175
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, YENIDOGAN MAHALLESI ABDI IPEKCI CAD. NO:71/5",+90 (212) 2012511,пн-вс: 08:00-19:00,41.037963,28.912165
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Rumeli Cad. No: 80/B Osmanbey",+90 (212) 3193836,пн-вс: 08:00-20:00,41.05372,28.987482
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, MESIHPASA MAHALLESI AKSARAY CADDESI NO:43",+90 (212) 5185993,пн-сб: 08:00-20:00,41.007424,28.95433
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. БУРСА, Dua C nar Mah. Visne Cad. No:126 Y ld r m",+90 (224) 3634007,"пн-пт: 08:30-18:00, сб: 09:30-15:30",40.195677,29.100102
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, KEMALPASA MAHALLESI SEMT REYHANI CIKMAZI SOKAK 29 FATIH",+90 (532) 4316055,пн-вс: 08:30-22:00,41.051242,29.103229
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. ГАЗИАНТЕП, INCIRLI PINAR MH PRF MUHAMMER AKSOY BLV DUNYA IS MERKEZI 34c",+90 (532) 2775579,пн-вс: 08:00-22:00,37.069,37.370333
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНКАРА, MESRUTIYET MAHALLESI ATATURK BULVARI GAMA IS HANI 97/116",+90 (544) 4636066,пн-вс: 08:00-20:00,39.919885,32.854529
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, BEYAZIT MAHALLESI KESECILER SOKAK KAPALICARSI 76 78 FATIH",+90 (551) 8602618,вс-сб: 08:00-22:00,41.010685,28.968068
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, Hasim Iscan Mah. Ataturk Cad. No:59/C",+90 (242) 2477019,пн-вс: 08:00-22:00,36.882829,30.709105
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, Kizilsaray Mah. Sarampol Cad. Hayfa Barut Apt. No:117A",+90 (242) 2477019,пн-вс: 08:00-22:00,36.907927,30.697182
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. ГАЗИАНТЕП, incipinar mahallesi prof. muammer aksoy bulvar milenyum is merkezi alt no 43",+90 (531) 8132300,"пн-пт: 08:00-21:00, сб-вс: 09:00-18:00",37.06827,37.370538
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, SEYYID OMER MAH. HEKIMOGLU ALIPASA CAD. NO:154 1A IC KAPI",+90 (553) 8120830,пн-сб: 09:00-20:00,41.006952,28.931881
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. ГАЗИАНТЕП, DEGIRMICEM MAHALLESI MUAMMER AKSOY BULVARI NO 48",+90 (532) 6406999,пн-вс: 08:00-20:00,37.068626,37.36767
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, Guzeloba Mah. Barinaklar Bulvari Isik Sitesi No:146",+90 (212) 3193836,пн-вс: 08:00-20:00,36.856888,30.786393
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, NISANCA MAHALLESI TURKELI CADDESI NISANCA YOKUSU 3 B",+90 (541) 3502050,вс-сб: 08:00-22:00,41.00631,28.960725
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. БУРСА, DUACINARI MAHALLESI 3 ORTA SOKAK NO 1/3 B",+90 (533) 7222258,"пн-пт: 08:30-18:30, сб-вс: 08:30-17:00",40.192938,29.100841
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, ZAFER MAH AHMET YESEVI CAD 39A BAHCELIEVLER",+90 (533) 7766670,пн-вс: 08:00-20:00,40.996063,28.838401
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, Zafer Mahallesi Ahmet Yesevi Cad. 39/A",+90 (533) 7766670,пн-вс: 08:30-20:00,40.996063,28.838401
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНКАРА, KIZILAY MAH. SEMT MENEKSE 2 CAD. CIGDEM APT 29 13 CANKAYA/ANKARA",+90 (553) 8527320,пн-вс: 08:00-22:00,39.921368,32.850358
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, FEVZI CAKMAK MAH MARMARA CAD. 27 B PENDIK",+90 (537) 3767332,пн-вс: 08:00-23:00,40.878447,29.267682
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, SIRINYALI MAH. ISMET GOKSEN CAD BOLUKBASI APT A BLOK NO:49 ANTALYA / MURATPASA",+90 (553) 4703193,пн-вс: 08:00-22:00,36.858972,30.736541
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, BELEK MAH. 41 SOKAK NO 4 IC KAPI NO 101 SERIK ANTALYA",+90 (532) 5104241,пн-вс: 08:00-22:00,36.860667,31.058099
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, OSMANAGA MAH. HALITAGA CAD. KOLATLAR NO:35 IC KAPI NO:2",+90 (532) 7383411,пн-вс: 08:00-23:59,40.993596,29.030697
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, FENER MAHALLESI TEKELIOGLU CAD NO 80",+90 (538) 7397594,пн-вс: 08:00-21:00,36.851726,30.756316
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MESIHPASA MAH. ORDU CAD LALELI IS MERKEZI 89 Z104 FATIH ISTANBUL",+90 (539) 8189605,пн-вс: 08:00-20:00,41.009431,28.95568
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MESRUTIYET MAH. EBE KIZI SOK. 12 D SISLI/ISTANBUL",+90 (551) 8602618,пн-вс: 08:00-22:00,41.055503,28.988856
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, SANAYI MAHALLESI ATATURK CADDESI 80 A GUNGOREN",+90 (531) 3606916,пн-вс: 08:00-23:00,41.020546,28.874244
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. КОНЬЯ, HACIKAYMAK MAH MURAT SOK NO 14 SELCUKLU",+90 (530) 0973477,пн-вс: 08:00-23:00,37.883226,32.47805
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, GUZELOBA MAHALLESI 2314 SOKAK DALLAR ELMAS SITESI 1BLOK NO2A",+90 (542) 6082050,пн-вс: 08:00-22:00,36.851747,30.806243
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, NURIPASA MAH 14 SOKAK NO18 30B",+90 (5355) 006288,пн-вс: 08:00-22:00,40.985716,28.90308
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНТАЛЬЯ, ELMALI MAH 14 SOKAK NO 35 D MURATPASA",+90 (532) 4020356,пн-вс: 08:00-22:00,36.890696,30.702332
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, NISPETIYE CD. NO:172 AKMERKEZ BESIKTAS / ISTANBUL",+90 (532) 6090473,пн-вс: 08:00-23:00,41.076899,29.026802
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АНКАРА, IZMIR CAD IHLAMUR SOKAK 5/55 KIZILAY NKARA",+90 (312) 4184929,пн-вс: 08:00-22:00,39.9241,32.852595
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, KEMERAGZI MAH YASAR SABUTAY BULVARI MERYEM SARI SITESI B 135 Aksu",+90 (534) 5832690,пн-вс: 08:00-21:00,36.881009,30.863947
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, ZUHTUPASA MH BAGDAT CD 41 41 KADIKOY/ISTANBUL",+90 (551) 8602618,пн-вс: 08:00-20:00,40.983479,29.040299
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, KATIP KASIM MAHALLESI HAYRIYE TUCCACI CAD YAPI HAN NO20/1 LALELI",+90 (532) 3033233,пн-вс: 07:00-23:00,41.007828,28.970507
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, MESIHPASA MAH. MESIHPASA CAD. NO:49 FATIH ISTANBUL",+90 (532) 3513911,пн-вс: 08:00-22:00,41.008253,28.957298
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, MESIHPASA MAH. LALELI CAD. NO:3 KAT 2",+90 (212) 4448082,пн-сб: 08:30-21:00,41.009319,28.956448
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, KATIP CELEBI MAH. GUVENLIK CAD. NO29 FATIH",+90 (537) 3671502,пн-вс: 08:00-20:00,41.006531,28.955501
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"г. АКСАРАЙ, AKSARAY MAH. SORGUCLU SOK. 4-8/2 FATIH/ ISTANBUL",+90 (551) 8602618,пн-вс: 08:00-22:00,41.006035,28.948498
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, SENLIKKOY MH FLORYA CAD FLORYA KONAKLARI SITESI NO 63 1A BAKIRKOY ISTANBUL",+90 (532) 3644607,пн-вс: 08:00-22:00,40.986036,28.796319
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, MERKEZ MAHALLESI MERKEZ CAMI SOKAK SEKER OZAN PASAJI NO32 1B",+90 (532) 3480280,пн-вс: 08:00-22:00,40.98237,28.721441
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"г. АНТАЛЬЯ, GUVENLIK MAH SENCAN PASJ VATAN BULVARI 37B",+90 (5536) 772037,пн-вс: 08:00-22:00,36.902776,30.68506
ST01125,Sender Odeme Hizmetleri Anonim Sirketi,"СТАМБУЛ, OSMANAGA MAHALLESI SOGUTLUCESME CADDESI BULVAR CARSISI NO64-28",+90 (553) 2346233,пн-вс: 07:00-23:00,40.990626,29.027618
ST01108,PayPorter (HIZLIPARA ODEME HIZMETLERI VE ELEKTRONIK A.S.),"СТАМБУЛ, KEMALPASA MAH SAITEFENDI SK NO 40/1 FATIH",+90 (533) 4104204,пн-вс: 08:00-23:00,41.034949,28.903689
